"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"2223","Crazy Cheebo: Puzzle Party----2011----Nintendo DS","Kate","Crazy Cheebo: Puzzle Party","crazy cheebo: puzzle party",2011,"2011","Nintendo DS","nintendo ds",14219,"Crazy Cheebo: Puzzle Party","Crazy Cheebo: Puzzle Party",2011,"Cypronia",NA,"Nintendo DS",NA,NA,NA,NA,NA,FALSE,TRUE,"Nintendo DS"
"2224","The Elder Scrolls V: Skyrim----2011----X360","Sam","The Elder Scrolls V: Skyrim","the elder scrolls 5: skyrim",2011,"2011","PC----PS3----Windows----X360----XBGS","pc----ps3----windows----x360----xbgs",61907,"The Elder Scrolls V: Skyrim","The Elder Scrolls V: Skyrim",2011,"Bethesda Softworks","Bethesda Game Studios","PS3----Windows----X360",39891,"The Elder Scrolls V: Skyrim","The Elder Scrolls V: Skyrim",2011,"PC----PS3----X360----XBGS",FALSE,TRUE,"X360"
"2225","Fossil Feast----2011----iOS","Brian","Fossil Feast","fossil feast",2011,"2011","iOS","ios",23443,"Fossil Feast","Fossil Feast",2011,"Namco Bandai","Namco Bandai","iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2226","SummitX Snowboarding----2011----iOS","Kameron","SummitX Snowboarding","summitx snowboarding",2011,"2011","iOS","ios",58537,"SummitX Snowboarding","SummitX Snowboarding",2011,"Com2Us","Free Range Games","iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2227","Soccer Cup Solitaire----2011----Linux/Unix","Kate","Soccer Cup Solitaire","soccer cup solitaire",2011,"2011","Linux/Unix","linux/unix",55366,"Soccer Cup Solitaire","Soccer Cup Solitaire",2011,"Anawiki","Anawiki","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2228","Sheep Goes Left----2011----IPAD","Sam","Sheep Goes Left","sheep goes left",2011,"2011","IPAD----IPHN----LIN----Linux/Unix----MAC----PC","ipad----iphn----lin----linux/unix----mac----pc",53551,"Sheep Goes Left","Sheep Goes Left",2011,"AGameAWeek.com","AGameAWeek.com","Linux/Unix",34317,"Sheep Goes Left","Sheep Goes Left",2011,"IPAD----IPHN----LIN----MAC----PC",FALSE,TRUE,"IPAD"
"2229","King Arthur: Fallen Champions----2011----PC","Brian","King Arthur: Fallen Champions","king arthur: fallen champions",2011,"2011","PC","pc",NA,NA,NA,NA,NA,NA,NA,21250,"King Arthur: Fallen Champions","King Arthur: Fallen Champions",2011,"PC",FALSE,TRUE,"PC"
"2230","90210----2011----iOS","Kameron","90210","90210",2011,"2011","iOS","ios",1430,"90210","90210",2011,"Hands-On Mobile","Hands-On Mobile","iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2231","Ra.One: The Game----2011----PS2","Kate","Ra.One: The Game","ra.1: the game",2011,"2011","PS2----PS3","ps2----ps3",48992,"Ra.One: The Game","Ra.One: The Game (<U+0930><U+093E>.<U+0935><U+0928>)",2011,"SCEE","Trine Games","PS2----PS3",31149,"RA.ONE The Game","RA.ONE The Game",NA,"PS2----PS3",FALSE,TRUE,"PS2"
"2232","Gardens of Time----2011----BROW","Sam","Gardens of Time","gardens of time",2011,"2011","BROW","brow",NA,NA,NA,NA,NA,NA,NA,15947,"Gardens of Time","Gardens of Time",2011,"BROW",FALSE,TRUE,"BROW"
"2233","Invaders Pretty Sure From Outer Space----2011----Linux/Unix","Brian","Invaders Pretty Sure From Outer Space","invaders pretty sure from outer space",2011,"2011","Linux/Unix","linux/unix",30425,"Invaders Pretty Sure From Outer Space","Invaders Pretty Sure From Outer Space",2011,"Freak Mind Games","Freak Mind Games","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2234","Stop That Hero!----2011----Linux/Unix","Kameron","Stop That Hero!","stop that hero!",2011,"2011","Linux/Unix","linux/unix",57945,"Stop That Hero!","Stop That Hero!",2011,"GBGames","GBGames","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2235","Disgaea 4: A Promise Unforgotten----2011----PS3","Kate","Disgaea 4: A Promise Unforgotten","disgaea 4: a promise unforgotten",2011,"2011","PS3","ps3",17541,"Disgaea 4: A Promise Unforgotten","Disgaea 4: A Promise Unforgotten (<U+9B54><U+754C><U+6226><U+8A18><U+30C7><U+30A3><U+30B9><U+30AC><U+30A4><U+30A2>4;Makai Senki Disgaea 4)",2011,"Nippon Ichi----NIS America","Nippon Ichi","PS3",10997,"Disgaea 4: A Promise Unforgotten","Disgaea 4: A Promise Unforgotten",2011,"PS3",FALSE,TRUE,"PS3"
"2236","The Lord of the Rings: War in the North----2011----PC","Sam","The Lord of the Rings: War in the North","the lord of the rings: war in the north",2011,"2011","MAC----PC----PS3----PS3N----X360----XBGS","mac----pc----ps3----ps3n----x360----xbgs",NA,NA,NA,NA,NA,NA,NA,40472,"The Lord of the Rings: War in the North","The Lord of the Rings: War in the North",2011,"MAC----PC----PS3----PS3N----X360----XBGS",FALSE,TRUE,"PC"
"2237","Crazy Escape----2011----iOS","Brian","Crazy Escape","crazy escape",2011,"2011","iOS","ios",14241,"Crazy Escape","Crazy Escape",2011,"BulkyPix","Kool Fing","iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2238","Climb to the Top of the Castle----2011----PC","Kameron","Climb to the Top of the Castle","climb to the top of the castle",2011,"2011","PC","pc",NA,NA,NA,NA,NA,NA,NA,7922,"Climb to the Top of the Castle","Climb to the Top of the Castle",2011,"PC",FALSE,TRUE,"PC"
"2239","Algodoo----2011----Linux/Unix","Kate","Algodoo","algodoo",2011,"2011","Linux/Unix","linux/unix",2947,"Algodoo","Algodoo (Phun)",2011,"Algoryx Simulation","Algoryx Simulation","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2240","greenTech+----2011----Windows","Sam","greenTech+","greentech+",2011,"2011","PC----Windows----XBGS","pc----windows----xbgs",26466,"greenTech+","greenTech+ (greenTech PLUS)",2011,"Vertigo Games","Vertigo Games","Windows",17014,"greenTech+","greenTech+",2011,"PC----XBGS",FALSE,TRUE,"Windows"
"2241","Ghost Harvest----2011----iOS","Brian","Ghost Harvest","ghost harvest",2011,"2011","iOS","ios",25250,"Ghost Harvest","Ghost Harvest",2011,NA,NA,"iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2242","Monster Island----2011----IPAD","Kameron","Monster Island","monster island",2011,"2011","BROW----IPAD----IPHN----PC----WP","brow----ipad----iphn----pc----wp",NA,NA,NA,NA,NA,NA,NA,25503,"Monster Island","Monster Island",2011,"BROW----IPAD----IPHN----PC----WP",FALSE,TRUE,"IPAD"
"2243","Ski Region Simulator 2012----2011----MAC","Kate","Ski Region Simulator 2012","ski region simulator 2012",2011,"2011","MAC----PC","mac----pc",NA,NA,NA,NA,NA,NA,NA,35048,"Ski Region Simulator 2012","Ski Region Simulator 2012",2011,"MAC----PC",FALSE,TRUE,"MAC"
"2244","Major League Baseball 2K11----2011----DS","Sam","Major League Baseball 2K11","major league baseball 2k11",2011,"2011","DS----PC----PS2----PS3----PSP----Wii----X360","ds----pc----ps2----ps3----psp----wii----x360",37018,"Major League Baseball 2K11","Major League Baseball 2K11",2011,"Take-Two Interactive",NA,"Wii",23521,"Major League Baseball 2K11","Major League Baseball 2K11",2011,"DS----PC----PS2----PS3----PSP----Wii----X360",FALSE,TRUE,"DS"
"2245","Street Fighter III: 3rd Strike: Online Edition----2011----PS3","Brian","Street Fighter III: 3rd Strike: Online Edition","street fighter 3: 3rd strike: online edition",2011,"2011","PS3","ps3",58130,"Street Fighter III: 3rd Strike: Online Edition","Street Fighter III: 3rd Strike - Online Edition",2011,"Capcom","Capcom","PS3",NA,NA,NA,NA,NA,FALSE,TRUE,"PS3"
"2246","To the Moon----2011----LIN","Kameron","To the Moon","to the moon",2011,"2011----2014","LIN----Linux/Unix----MAC----PC----Windows","lin----linux/unix----mac----pc----windows",64613,"To The Moon","To The Moon",2011,"Freebird Games","Freebird Games","Linux/Unix----Windows",41741,"To the Moon","To the Moon",2011,"LIN----MAC----PC",FALSE,TRUE,"LIN"
"2247","Dragon Ball Z: Ultimate Tenkaichi----2011----PS3","Kate","Dragon Ball Z: Ultimate Tenkaichi","dragon ball z: ultimate tenkaichi",2011,"2011","PS3----X360","ps3----x360",NA,NA,NA,NA,NA,NA,NA,11862,"Dragon Ball Z: Ultimate Tenkaichi","Dragon Ball Z: Ultimate Tenkaichi",2011,"PS3----X360",FALSE,TRUE,"PS3"
"2248","Moego Online----2011----Windows","Sam","Moego Online","moego online",2011,"2011","Windows","windows",39864,"Moego Online","Moego Online (<U+840C><U+8C37><U+5E1D><U+570B> Online)",2011,"UserJoy Technology",NA,"Windows",NA,NA,NA,NA,NA,FALSE,TRUE,"Windows"
"2249","Marvel vs Capcom 3: Fate of Two Worlds----2011----PS3","Brian","Marvel vs Capcom 3: Fate of Two Worlds","marvel vs capcom 3: fate of 2 worlds",2011,"2011","PS3----X360","ps3----x360",37557,"Marvel vs Capcom 3: Fate of Two Worlds","Marvel vs. Capcom 3: Fate of Two Worlds (<U+30DE><U+30FC><U+30F4><U+30EB> VS. <U+30AB><U+30D7><U+30B3><U+30F3> 3 <U+30D5><U+30A7><U+30A4><U+30C8> <U+30AA><U+30D6> <U+30C8><U+30A5><U+30FC> <U+30EF><U+30FC><U+30EB><U+30C9>)",2011,"Capcom","Capcom","PS3----X360",23870,"Marvel vs Capcom 3: Fate of Two Worlds","Marvel vs. Capcom 3: Fate of Two Worlds",2011,"PS3----X360",FALSE,TRUE,"PS3"
"2250","The Haunted: Hells Reach----2011----PS3N","Kameron","The Haunted: Hells Reach","the haunted: hells reach",2011,"2011","PC----PS3N----Windows----XBGS","pc----ps3n----windows----xbgs",62241,"The Haunted: Hells Reach","The Haunted: Hells Reach",2011,"Valusoft","KTX Software","Windows",40120,"The Haunted: Hells Reach","The Haunted: Hells Reach",2011,"PC----PS3N----XBGS",FALSE,TRUE,"PS3N"
"2251","Roll in the Hole----2011----IPHN","Kate","Roll in the Hole","roll in the hole",2011,"2011----2012","ANDR----iOS----IPHN----PSNV----WP","andr----ios----iphn----psnv----wp",51156,"Roll in the Hole","Roll in the Hole",2011,"Chillingo",NA,"iOS",32680,"Roll in the Hole","Roll in the Hole",2012,"ANDR----IPHN----PSNV----WP",FALSE,TRUE,"IPHN"
"2252","Jasper’s Journey----2011----Linux/Unix","Sam","Jasper’s Journey","jasper’s journey",2011,"2011","Linux/Unix","linux/unix",31061,"Jasper’s Journey","Jasper’s Journey",2011,"Lexaloffle","Lexaloffle","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2253","Gatling Gears----2011----XBGS","Brian","Gatling Gears","gatling gears",2011,"2011","PC----PS3----PS3N----PSPN----Windows----X360----XBGS","pc----ps3----ps3n----pspn----windows----x360----xbgs",24854,"Gatling Gears","Gatling Gears",2011,"Electronic Arts","Vanguard Entertainment","PS3----Windows----X360",16025,"Gatling Gears","Gatling Gears",2011,"PC----PS3N----PSPN----XBGS",FALSE,TRUE,"XBGS"
"2254","Kaptain Brawe: A Brawe New World----2011----MAC","Kameron","Kaptain Brawe: A Brawe New World","kaptain brawe: a brawe new world",2011,"2011----2013","ANDR----iOS----IPAD----IPHN----MAC----PC----Windows","andr----ios----ipad----iphn----mac----pc----windows",32272,"Kaptain Brawe: A Brawe New World","Kaptain Brawe: A Brawe New World",2011,"G5 Entertainment----Lavemet","Cateia Games","iOS----Windows",20843,"Kaptain Brawe: A Brawe New World","Kaptain Brawe: A Brawe New World",2013,"ANDR----IPAD----IPHN----MAC----PC",FALSE,TRUE,"MAC"
"2255","Winter Voices Episode 3: Like a Crow on a Wire----2011----Windows","Kate","Winter Voices Episode 3: Like a Crow on a Wire","winter voices episode 3: like a crow on a wire",2011,"2011","PC----Windows","pc----windows",69286,"Winter Voices Episode 3: Like a Crow on a Wire","Winter Voices Episode 3: Like a Crow on a Wire",2011,"beyondthepillars","beyondthepillars","Windows",44922,"Winter Voices Episode 3: Like a Crow on a Wire","Winter Voices Episode 3: Like a Crow on a Wire",NA,"PC",FALSE,TRUE,"Windows"
"2256","Special Enquiry Detail: The Hand That Feeds----2011----iOS","Sam","Special Enquiry Detail: The Hand That Feeds","special enquiry detail: the hand that feeds",2011,"2011","iOS","ios",56405,"Special Enquiry Detail: The Hand That Feeds","Special Enquiry Detail: The Hand That Feeds",2011,"G5 Entertainment","G5 Entertainment","iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2257","Biophilia----2011----IPAD","Brian","Biophilia","biophilia",2011,"2011","iOS----IPAD----IPHN","ios----ipad----iphn",7947,"Biophilia","Biophilia",2011,"Second Wind","Scott Snibbe Studio","iOS",5020,"Biophilia","Biophilia",2011,"IPAD----IPHN",FALSE,TRUE,"IPAD"
"2258","OGS Mahjong----2011----Linux/Unix","Kameron","OGS Mahjong","ogs mahjong",2011,"2011","Linux/Unix","linux/unix",43457,"OGS Mahjong","OGS Mahjong",2011,"Opensource Game Studio","Opensource Game Studio","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2259","Reel Fishing Paradise 3D----2011----3DS","Kate","Reel Fishing Paradise 3D","reel fishing paradise 3d",2011,"2011","3DS","3ds",49933,"Reel Fishing Paradise 3D","Reel Fishing Paradise 3D",2011,"Natsume",NA,"3DS",31842,"Reel Fishing Paradise 3D","Reel Fishing Paradise 3D",2011,"3DS",FALSE,TRUE,"3DS"
"2260","Andrew Lloyd Webber Musicals: Sing and Dance----2012----Wii","Sam","Andrew Lloyd Webber Musicals: Sing and Dance","andrew lloyd webber musicals: sing and dance",2012,"2012","Wii","wii",NA,NA,NA,NA,NA,NA,NA,2397,"Andrew Lloyd Webber Musicals: Sing and Dance","Andrew Lloyd Webber Musicals: Sing and Dance",2012,"Wii",FALSE,TRUE,"Wii"
"2261","I Get This Call Every Day----2012----MAC","Brian","I Get This Call Every Day","1 get this call every day",2012,"2012","MAC----PC","mac----pc",NA,NA,NA,NA,NA,NA,NA,132,"I Get This Call Every Day","I Get This Call Every Day",2012,"MAC----PC",FALSE,TRUE,"MAC"
"2262","Crazy Strike Bowling----2012----PS3N","Kameron","Crazy Strike Bowling","crazy strike bowling",2012,"2012","PS3N","ps3n",NA,NA,NA,NA,NA,NA,NA,8894,"Crazy Strike Bowling","Crazy Strike Bowling",2012,"PS3N",FALSE,TRUE,"PS3N"
"2263","The Avengers: The Movie----2012----iOS","Kate","The Avengers: The Movie","the avengers: the movie",2012,"2012","iOS----Wii","ios----wii",61352,"The Avengers: The Movie","The Avengers: The Movie",2012,"Gameloft----THQ",NA,"iOS----Wii",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2264","Jett Rocket: Super Surf----2012----3DS","Sam","Jett Rocket: Super Surf","jett rocket: super surf",2012,"2012","3DS","3ds",31252,"Jett Rocket: Super Surf","Jett Rocket: Super Surf",2012,"Shin'en","Shin'en","3DS",NA,NA,NA,NA,NA,FALSE,TRUE,"3DS"
"2265","Skyfall----2012----iOS","Brian","Skyfall","skyfall",2012,"2012","iOS","ios",54849,"Skyfall","Skyfall",2012,"ngmoco",NA,"iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2266","Kairobotica----2012----ANDR","Kameron","Kairobotica","kairobotica",2012,"2012","ANDR----IPAD----IPHN","andr----ipad----iphn",NA,NA,NA,NA,NA,NA,NA,20742,"Kairobotica","Kairobotica",2012,"ANDR----IPAD----IPHN",FALSE,TRUE,"ANDR"
"2267","Pokémon Dream Radar----2012----3DS","Kate","Pokémon Dream Radar","pokémon dream radar",2012,"2012","3DS----3DSE","3ds----3dse",46745,"Pokémon Dream Radar","Pokémon Dream Radar",2012,"Nintendo",NA,"3DS",29768,"Pokémon Dream Radar","Pokémon Dream Radar",2012,"3DSE",FALSE,TRUE,"3DS"
"2268","NBA Baller Beats----2012----X360","Sam","NBA Baller Beats","nba baller beats",2012,"2012","X360----XBGS","x360----xbgs",NA,NA,NA,NA,NA,NA,NA,26704,"NBA Baller Beats","NBA Baller Beats",2012,"X360----XBGS",FALSE,TRUE,"X360"
"2269","Unchained Blades----2012----PSPN","Brian","Unchained Blades","unchained blades",2012,"2012","3DS----3DSE----PSP----PSPN","3ds----3dse----psp----pspn",66816,"Unchained Blades","Unchained Blades (<U+30A2><U+30F3><U+30C1><U+30A7><U+30A4><U+30F3><U+30D6><U+30EC><U+30A4><U+30BA> <U+30EC><U+30AF><U+30B9>;UnchainBlades ReXX)",2012,"Xseed Games","FuRyu","3DS",43261,"Unchained Blades","Unchained Blades",2012,"3DS----3DSE----PSP----PSPN",FALSE,TRUE,"PSPN"
"2270","Magna Mundi----2012----PC","Kameron","Magna Mundi","magna mundi",2012,"2012","PC","pc",NA,NA,NA,NA,NA,NA,NA,23371,"Magna Mundi","Magna Mundi",2012,"PC",FALSE,TRUE,"PC"
"2271","Engage To Zeldawock----2012----Linux/Unix","Kate","Engage To Zeldawock","engage to zeldawock",2012,"2012","Linux/Unix","linux/unix",20464,"Engage To Zeldawock","Engage To Zeldawock",2012,"author","author","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2272","Imaginary Range Number 2----2012----Android","Sam","Imaginary Range Number 2","imaginary range number 2",2012,"2012","Android","android",29826,"Imaginary Range Number 2","Imaginary Range Ep.2",2012,"Square-Enix","Square Enix","Android",NA,NA,NA,NA,NA,FALSE,TRUE,"Android"
"2273","Let's Dance----2012----Wii","Brian","Let's Dance","let's dance",2012,"2012","Wii","wii",34915,"Let's Dance","Let's Dance",2012,"Maximum Family Games","Lightning Fish","Wii",NA,NA,NA,NA,NA,FALSE,TRUE,"Wii"
"2274","Mysterious Stars: The Singer----2012----DSI","Kameron","Mysterious Stars: The Singer","mysterious stars: the singer",2012,"2012","DSI","dsi",NA,NA,NA,NA,NA,NA,NA,26258,"Mysterious Stars: The Singer","Mysterious Stars: The Singer",2012,"DSI",FALSE,TRUE,"DSI"
"2275","Smash-a-Lot----2012----iOS","Kate","Smash-a-Lot","smash-a-lot",2012,"2012","iOS","ios",55103,"Smash-a-Lot","Smash-a-Lot",2012,"Chillingo","Wicked Witch Software","iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2276","Ragnarok Tactics----2012----PSP","Sam","Ragnarok Tactics","ragnarok tactics",2012,"2012","PSP----PSPN","psp----pspn",NA,NA,NA,NA,NA,NA,NA,31284,"Ragnarok Tactics","Ragnarok Tactics",2012,"PSP----PSPN",FALSE,TRUE,"PSP"
"2277","Star Marine: Infinite Ammo----2012----iOS","Brian","Star Marine: Infinite Ammo","star marine: infinite ammo",2012,"2012","iOS","ios",57261,"Star Marine: Infinite Ammo","Star Marine: Infinite Ammo",2012,"GlitchSoft","GlitchSoft","iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2278","Crystal Adventure----2012----Nintendo DS","Kameron","Crystal Adventure","crystal adventure",2012,"2012","Nintendo DS","nintendo ds",14704,"Crystal Adventure","Crystal Adventure",2012,NA,NA,"Nintendo DS",NA,NA,NA,NA,NA,FALSE,TRUE,"Nintendo DS"
"2279","The White Birch----2012----PC","Kate","The White Birch","the white birch",2012,"2012","PC----Windows","pc----windows",63849,"The White Birch","The White Birch (White Birch)",NA,"Double Fine","Double Fine","Windows",41249,"The White Birch","The White Birch",2012,"PC",FALSE,TRUE,"PC"
"2280","New Super Mario Bros. 2----2012----3DS","Sam","New Super Mario Bros. 2","new super mario bros. 2",2012,"2012","3DS----3DSE","3ds----3dse",42314,"New Super Mario Bros. 2","New Super Mario Bros. 2 (New Super Mario 3DS)",2012,"Nintendo","Nintendo","3DS",27080,"New Super Mario Bros. 2","New Super Mario Bros. 2",2012,"3DS----3DSE",FALSE,TRUE,"3DS"
"2281","Pippi Longstocking 3D----2012----3DS","Brian","Pippi Longstocking 3D","pippi longstocking 3d",2012,"2012","3DS","3ds",46098,"Pippi Longstocking 3D","Pippi Longstocking 3D (Pippi Langstrumpf 3D;Pippi Långstrump 3D;Pippi Langstrømpe 3D)",2012,"PAN Vision","Ravn Studio","3DS",NA,NA,NA,NA,NA,FALSE,TRUE,"3DS"
"2282","Dynasty Warriors Vs.----2012----3DS","Kameron","Dynasty Warriors Vs.","dynasty warriors vs.",2012,"2012","3DS","3ds",19567,"Dynasty Warriors Vs.","Dynasty Warriors Vs.",2012,"KOEI",NA,"3DS",NA,NA,NA,NA,NA,FALSE,TRUE,"3DS"
"2283","Emergency 2013----2012----Windows","Kate","Emergency 2013","emergency 2013",2012,"2012","PC----Windows","pc----windows",20262,"Emergency 2013","Emergency 2013",2012,"Deep Silver","Quadriga Games----Sixteen Tons Entertainment","Windows",12972,"Emergency 2013","Emergency 2013",2012,"PC",FALSE,TRUE,"Windows"
"2284","Iron Sky: Invasion----2012----Mac","Sam","Iron Sky: Invasion","iron sky: invasion",2012,"2012","Mac----MAC----PC----PS3----Windows----X360","mac----pc----ps3----windows----x360",30546,"Iron Sky: Invasion","Iron Sky: Invasion",2012,"Topware","Reality Pump","Mac----PS3----Windows----X360",19764,"Iron Sky Invasion","Iron Sky Invasion",2012,"MAC----PC----PS3----X360",FALSE,TRUE,"Mac"
"2285","DCS: P-51D Mustang----2012----Windows","Brian","DCS: P-51D Mustang","dcs: p-51d mustang",2012,"2012","Windows","windows",16043,"DCS: P-51D Mustang","DCS: P-51D Mustang",2012,"The Fighter Collection","Eagle Dynamics","Windows",NA,NA,NA,NA,NA,FALSE,TRUE,"Windows"
"2286","Citadel Arcanes----2012----iOS","Kameron","Citadel Arcanes","citadel arcanes",2012,"2012","iOS","ios",12583,"Citadel Arcanes","Citadel Arcanes",2012,"BulkyPix",NA,"iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2287","Lost Heroes----2012----3DS","Kate","Lost Heroes","lost heroes",2012,"2012","3DS----PSP----PSPN","3ds----psp----pspn",35725,"Lost Heroes","Lost Heroes",2012,NA,"Lancarse","3DS",22818,"Lost Heroes","Lost Heroes",2012,"3DS----PSP----PSPN",FALSE,TRUE,"3DS"
"2288","UnchainBlades ReXX----2012----PSP","Sam","UnchainBlades ReXX","unchainblades rexx",2012,"2012","PSP","psp",66815,"UnchainBlades ReXX","UnchainBlades ReXX (Unchained Blades)",2012,"FuRyu----XSEED Games","FuRyu","PSP",NA,NA,NA,NA,NA,FALSE,TRUE,"PSP"
"2289","Harvest Moon: A New Beginning----2012----3DS","Brian","Harvest Moon: A New Beginning","harvest moon: a new beginning",2012,"2012","3DS","3ds",27685,"Harvest Moon: A New Beginning","Harvest Moon: A New Beginning",2012,"Natsume",NA,"3DS",NA,NA,NA,NA,NA,FALSE,TRUE,"3DS"
"2290","Ski Race----2012----XBGS","Kameron","Ski Race","ski race",2012,"2012","X360----XBGS","x360----xbgs",54715,"Ski Race","Ski Race (Course de Ski)",2012,"Microsoft Game Studios","Rare","X360",35045,"Ski Race","Ski Race",2012,"XBGS",FALSE,TRUE,"XBGS"
"2291","2nd Super Robot Wars Z Saisei Volume----2012----PSP","Kate","2nd Super Robot Wars Z Saisei Volume","2nd super robot wars z saisei volume",2012,"2012","PSP","psp",765,"2nd Super Robot Wars Z Saisei Volume","2nd Super Robot Wars Z Saisei Volume (<U+7B2C>2<U+6B21><U+30B9><U+30FC><U+30D1><U+30FC><U+30ED><U+30DC><U+30C3><U+30C8><U+5927><U+6226>Z <U+518D><U+4E16><U+7BC7>)",2012,"Namco Bandai Games","Gainax","PSP",NA,NA,NA,NA,NA,FALSE,TRUE,"PSP"
"2292","Ib----2012----PC","Sam","Ib","ib",2012,"2012","PC","pc",NA,NA,NA,NA,NA,NA,NA,19066,"Ib","Ib",2012,"PC",FALSE,TRUE,"PC"
"2293","Divine Heart Machina Gaiden 01 ~Machina Gakunai Choukyou Hen~----2012----PC","Brian","Divine Heart Machina Gaiden 01 ~Machina Gakunai Choukyou Hen~","divine heart machina gaiden 01 ~machina gakunai choukyou hen~",2012,"2012","PC","pc",NA,NA,NA,NA,NA,NA,NA,11204,"Divine Heart Machina Gaiden 01 ~Machina Gakunai Choukyou Hen~","Divine Heart Machina Gaiden 01 ~Machina Gakunai Choukyou Hen~",2012,"PC",FALSE,TRUE,"PC"
"2294","Aeon Command----2012----Windows","Kameron","Aeon Command","aeon command",2012,"2012----2013","Android----iOS----Linux/Unix----Mac----PC----Windows","android----ios----linux/unix----mac----pc----windows",2285,"Aeon Command","Aeon Command",2012,"Bat Country Games","Bat Country Games","Android----iOS----Linux/Unix----Mac----Windows",1486,"Aeon Command","Aeon Command",2012,"PC",FALSE,TRUE,"Windows"
"2295","Jungle Journey----2012----Atom","Kate","Jungle Journey","jungle journey",2012,"2012","Atom","atom",31856,"Jungle Journey","Jungle Journey",2012,"author",NA,"Atom",NA,NA,NA,NA,NA,FALSE,TRUE,"Atom"
"2296","Tekken Tag Tournament 2: Wii U Edition----2012----Wii U","Sam","Tekken Tag Tournament 2: Wii U Edition","tekken tag tournament 2: wii u edition",2012,"2012","Wii U","wii u",60697,"Tekken Tag Tournament 2: Wii U Edition","Tekken Tag Tournament 2: Wii U Edition (<U+9244><U+62F3>TAG TOURNAMENT2)",2012,"Namco Bandai Games",NA,"Wii U",NA,NA,NA,NA,NA,FALSE,TRUE,"Wii U"
"2297","Amp, Watts and Circuit----2012----iOS","Brian","Amp, Watts and Circuit","amp, watts and circuit",2012,"2012","iOS","ios",3628,"Amp, Watts and Circuit","Amp, Watts & Circuit",2012,"Jamo Games",NA,"iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2298","Traps and Treasures----2012----Linux/Unix","Kameron","Traps and Treasures","traps and treasures",2012,"2012","Linux/Unix","linux/unix",65533,"Traps and Treasures","Traps and Treasures (TnT)",2012,"author","author","Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"2299","Capcom Digital Collection----2012----X360","Kate","Capcom Digital Collection","capcom digital collection",2012,"2012","X360","x360",NA,NA,NA,NA,NA,NA,NA,6756,"Capcom Digital Collection","Capcom Digital Collection",2012,"X360",FALSE,TRUE,"X360"
"2300","Generator Rex: Enemy Alliance----2012----iOS","Sam","Generator Rex: Enemy Alliance","generator rex: enemy alliance",2012,"2012","iOS","ios",25050,"Generator Rex: Enemy Alliance","Generator Rex: Enemy Alliance",2012,"Cartoon Network",NA,"iOS",NA,NA,NA,NA,NA,FALSE,TRUE,"iOS"
"2301","F1 Race Stars----2012----PS3N","Brian","F1 Race Stars","f1 race stars",2012,"2012","PC----PS3----PS3N----WIIU----Windows----X360----XBGS","pc----ps3----ps3n----wiiu----windows----x360----xbgs",21440,"F1 Race Stars","F1 Race Stars----F1 RACE STARS",2012,"Codemasters","Codemasters Birmingham","Windows----X360",13804,"F1 Race Stars","F1 Race Stars",2012,"PC----PS3----PS3N----WIIU----X360----XBGS",FALSE,TRUE,"PS3N"
"2302","Shining Blade----2012----PSP","Kameron","Shining Blade","shining blade",2012,"2012","PSP","psp",53761,"Shining Blade","Shining Blade (<U+30B7><U+30E3><U+30A4><U+30CB><U+30F3><U+30B0>·<U+30D6><U+30EC><U+30A4><U+30C9>)",2012,"Sega","Sega","PSP",34464,"Shining Blade","Shining Blade",2012,"PSP",FALSE,TRUE,"PSP"
